complaint_id,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
16-0113,NA,NA,NA,NA,Departmental Violation,No Sustained Findings,Not Applicable
16-0113,NA,NA,NA,NA,Departmental Violation,No Sustained Findings,Not Applicable
16-0114,NA,NA,NA,NA,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0115,77388994,white,male,2400 24TH DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0116,54445764,white,male,7404 NARC FIELD UNIT EAS,Departmental Violation,No Sustained Findings,Not Applicable
16-0117,79394685,black,female,2500 25TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0117,79394685,black,female,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0117,59919702,white,female,2500 25TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0117,58350374,latino,female,2500 25TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0117,58350374,latino,female,2500 25TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0118,88528444,white,male,4500 CENTER CITY DISTRIC,Verbal Abuse,No Sustained Findings,Not Applicable
16-0118,88528444,white,male,4500 CENTER CITY DISTRIC,Physical Abuse,No Sustained Findings,Not Applicable
16-0119,15374948,latino,male,1600 16TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0119,15077974,white,male,1600 16TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0120,71848451,white,male,1400 14TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0121,38480569,white,male,1700 17TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0121,47313062,white,male,1700 17TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0122,80704805,black,male,5602 Neighborhood Servic,Lack of Service,No Sustained Findings,Not Applicable
16-0122,16595460,black,female,5400 AID,Lack of Service,Sustained Finding,Training/Counseling
